CELE___600	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
CELE___601	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
CELE___602	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
CELE___603	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
CELE___604	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
CELE___605	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
CELE___606	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
CELE___607	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
CELE___608	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
CELE___609	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
CELE___610	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
CELE___611	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
CELE___612	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
CELE___613	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
CELE___614	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
CELE___615	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
CELE___616	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
CELE___617	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
CELE___618	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
CELE___619	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
CELE___620	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
